tensor(0.5998, device='cuda:0')
tensor(0.0298, device='cuda:0')
tensor(0.0937, device='cuda:0')
tensor(0.1308, device='cuda:0')
tensor(0.0873, device='cuda:0')
tensor(0.0623, device='cuda:0')
tensor(0.0732, device='cuda:0')
tensor(0.0217, device='cuda:0')
tensor(0.0208, device='cuda:0')
tensor(0.0737, device='cuda:0')
tensor(0.0218, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0176, device='cuda:0')
tensor(0.0936, device='cuda:0')
tensor(0.0142, device='cuda:0')
tensor(0.0926, device='cuda:0')
tensor(0.0772, device='cuda:0')
tensor(0.0149, device='cuda:0')
tensor(0.0105, device='cuda:0')
tensor(0.0086, device='cuda:0')
tensor(0.0084, device='cuda:0')
tensor(0.0074, device='cuda:0')
tensor(0.0071, device='cuda:0')
tensor(0.0076, device='cuda:0')
tensor(0.0069, device='cuda:0')
tensor(0.0087, device='cuda:0')
tensor(0.0072, device='cuda:0')
tensor(0.0069, device='cuda:0')
tensor(0.0063, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.0076, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.0067, device='cuda:0')
tensor(0.0061, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0056, device='cuda:0')
tensor(0.0056, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.0056, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0055, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.0055, device='cuda:0')
tensor(0.0055, device='cuda:0')
tensor(0.0055, device='cuda:0')
